path,approvedSource,lifecycle,http,robots,canonical,sitemap,approvedHash,implementedHash,normalizedMatch,missingFromPage,addedToPage,changedText,titleMatch,descriptionMatch,h1Match,h1Count,faqMatch,faqCount,faqSchemaMatch,contactMatch,linkSafety,differenceCount,status
"/รับซื้อโน๊ตบุ๊ค/","docs/content-approved/notebook.md","INDEX",200,"index,follow","self","YES","bdfb5c288e6cd20ccb07b09b87bbf17cc94f20e61d085de8a0afeb41771df4a7","bdfb5c288e6cd20ccb07b09b87bbf17cc94f20e61d085de8a0afeb41771df4a7","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อคอม/","docs/content-approved/computer.md","INDEX",200,"index,follow","self","YES","f2bce98e8349a419c364b2673cdbc26aa0fe6382136e968c638b3fe2575f2cb7","f2bce98e8349a419c364b2673cdbc26aa0fe6382136e968c638b3fe2575f2cb7","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อแมคบุ๊ค/","docs/content-approved/macbook.md","INDEX",200,"index,follow","self","YES","6d76c53f6516407f9506ccc6c35c57ca2165b0e763aee5b1755d2a31d0aa83e8","6d76c53f6516407f9506ccc6c35c57ca2165b0e763aee5b1755d2a31d0aa83e8","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อไอโฟน/","docs/content-approved/iphone.md","INDEX",200,"index,follow","self","YES","df68d660077337f4014952641ff51c1b65562645e4d46a03c6e92a6e46a0a39d","df68d660077337f4014952641ff51c1b65562645e4d46a03c6e92a6e46a0a39d","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อไอแพด/","docs/content-approved/ipad.md","INDEX",200,"index,follow","self","YES","d2e07326571b0185df45ac6b31b9ae44ceb7277f23aa8bcecefc4d209db779d1","d2e07326571b0185df45ac6b31b9ae44ceb7277f23aa8bcecefc4d209db779d1","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อกล้อง/","docs/content-approved/camera.md","INDEX",200,"index,follow","self","YES","043800229fade9ac1d5ad3157f8de4e8c1a08df40384e475ab0fafb616f123f2","043800229fade9ac1d5ad3157f8de4e8c1a08df40384e475ab0fafb616f123f2","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อลำโพง/","docs/content-approved/speaker.md","INDEX",200,"index,follow","self","YES","46047feabfd38975ee547b5a49b9e1a9593be181c88ad2062985917a13b30474","46047feabfd38975ee547b5a49b9e1a9593be181c88ad2062985917a13b30474","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อซากคอมพิวเตอร์/","docs/content-approved/computer-scrap.md","INDEX",200,"index,follow","self","YES","ed78050f79641b87687c6c65fc59cd31ec776837ad4d37ad8fcc3648daa16c32","ed78050f79641b87687c6c65fc59cd31ec776837ad4d37ad8fcc3648daa16c32","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อ-server/","docs/content-approved/server.md","INDEX",200,"index,follow","self","YES","148c0cb9ce5dea9342695123d03f06ac4a810502e8d5bfad308e6c41df09a38c","148c0cb9ce5dea9342695123d03f06ac4a810502e8d5bfad308e6c41df09a38c","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
"/รับซื้อ/","docs/content-approved/main-buyback.md","INDEX",200,"index,follow","self","YES","794fb243d52fc56ff204b81f91e329ca291ff4721415126045e589cd3e81cbba","794fb243d52fc56ff204b81f91e329ca291ff4721415126045e589cd3e81cbba","PASS",0,0,0,"PASS","PASS","PASS",1,"PASS","5/5","PASS","PASS","PASS",0,"PASS_EXACT"
