path,equityClass,equityScore,selectedForFinalIA,iaNode,finalPlanningDisposition,reason
/,B_PRESERVE_IMPROVE,95,TRUE,CORE_HOME,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_NOTEBOOK_CHUMPHAE,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_NOTEBOOK_PHON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อ-server/,A_PRESERVE_REWRITE,40,TRUE,MONEY_SERVER,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อ/,B_PRESERVE_IMPROVE,20,TRUE,CORE_BUY_HUB,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อmacbook-อุดรธานี/,A_PRESERVE_REWRITE,50,TRUE,LOCAL_MACBOOK_UDON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้อง-fujifilm-ฟูจิฟิล์ม/,A_PRESERVE_REWRITE,50,TRUE,MODEL_CAMERA_FUJI,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้อง-ยโสธร/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_CAMERA_YASOTHON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้อง/,B_PRESERVE_IMPROVE,50,TRUE,MONEY_CAMERA,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้องถ่ายรูป-ศรี/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_CAMERA_SISAKET,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้องถ่ายรูปจัง/,A_PRESERVE_REWRITE,60,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อกล้องมือสอง-บริก/,A_PRESERVE_REWRITE,60,FALSE,CLUSTER_PARENT,CONSOLIDATE,Consolidated into primary province/category hub to eliminate internal cannibalization
/รับซื้อกล้องมือสองมุก/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_CAMERA_MUKDAHAN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้องมือสองสุร/,A_PRESERVE_REWRITE,45,TRUE,LOCAL_CAMERA_SURIN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อกล้องอุบล-กล้องcanon-niko/,A_PRESERVE_REWRITE,50,TRUE,LOCAL_CAMERA_UBON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อคอม-ขอนแก่น/,A_PRESERVE_REWRITE,80,TRUE,LOCAL_COMPUTER_KHONKAEN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อคอม-ศรีสะเกษ/,A_PRESERVE_REWRITE,70,FALSE,NONE,PRESERVE_DEFER,Secondary candidate held in reserve for future Phase E evaluation
/รับซื้อคอม-สายไหม/,A_PRESERVE_REWRITE,60,FALSE,CLUSTER_PARENT,CONSOLIDATE,Consolidated into primary province/category hub to eliminate internal cannibalization
/รับซื้อคอม-สารคาม/,A_PRESERVE_REWRITE,50,TRUE,LOCAL_COMPUTER_SARAKHAM,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อคอม-อุดรธานี/,A_PRESERVE_REWRITE,90,TRUE,LOCAL_COMPUTER_UDON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อคอม/,B_PRESERVE_IMPROVE,50,TRUE,MONEY_COMPUTER,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อซากคอมพิวเตอร์/,A_PRESERVE_REWRITE,70,TRUE,MONEY_SCRAP,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อมือถือ-อุบล/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_PHONE_UBON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อลำโพง-ยโสธร/,A_PRESERVE_REWRITE,60,TRUE,LOCAL_SPEAKER_YASOTHON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อลำโพง-ร้อยเอ็ด-jbl-marshall/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_SPEAKER_ROIET,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อลำโพง-สารคาม/,B_PRESERVE_IMPROVE,95,TRUE,LOCAL_SPEAKER_SARAKHAM,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อลำโพง-อุดรธานี/,B_PRESERVE_IMPROVE,95,TRUE,LOCAL_SPEAKER_UDON,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
/รับซื้อเมืองขอนแก่น/,A_PRESERVE_REWRITE,70,TRUE,LOCAL_MACBOOK_KHONKAEN,KEEP_HISTORICAL_URL,Selected directly as canonical V2 public URL in IA
