legacy_path,v2_state,v2_target,v2_http_status,action_reason
"/buy-camera-mahasarakam/","HOLD_NOINDEX","/buy-camera-mahasarakam/","200","REBUILD_INDEX survivor candidate awaiting unique content (CONTENT_REQUIRED)"
"/buy-camera-nongkai/","HOLD_NOINDEX","/buy-camera-nongkai/","200","Historical survivor in hold/review"
"/buy-camera-surin/","REDIRECT","/รับซื้อกล้องมือสองสุร/","301","NEW_REDIRECT consolidation"
"/buy-camera-ubon/","HOLD_NOINDEX","/buy-camera-ubon/","200","Historical survivor in hold/review"
"/legacy-รับซื้อกล้อง-ยโสธร-815/","REDIRECT","/รับซื้อกล้อง-ยโสธร/","301","EXISTING_REDIRECT consolidation"
"/legacy-รับซื้อไอโฟน-มหาสารคาม-851/","REDIRECT","/รับซื้อไอโฟน-มหาสารคาม/","301","EXISTING_REDIRECT consolidation"
"/rab-sue-com/","REDIRECT","/รับซื้อคอม/","301","Normalized 301 consolidation"
"/rab-sue-ipad/","REDIRECT","/รับซื้อไอแพด/","301","Normalized 301 consolidation"
"/rab-sue-iphone/","REDIRECT","/รับซื้อไอโฟน/","301","Normalized 301 consolidation"
"/rab-sue-klong/","REDIRECT","/รับซื้อกล้อง/","301","Normalized 301 consolidation"
"/rab-sue-lamphong/","REDIRECT","/รับซื้อลำโพง/","301","Normalized 301 consolidation"
"/rab-sue-macbook/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","Normalized 301 consolidation"
"/rab-sue-notebook/","REDIRECT","/รับซื้อโน๊ตบุ๊ค/","301","Normalized 301 consolidation"
"/rab-sue/","REDIRECT","/รับซื้อ/","301","Normalized 301 consolidation"
"/ขายโน๊ตบุ๊ค-ขอนแก่น/","HOLD_NOINDEX","/ขายโน๊ตบุ๊ค-ขอนแก่น/","200","Historical survivor in hold/review"
"/ขายโน๊ตบุ๊คอุบล-รับซื้/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/จำนำ-notebook-โน๊ตบุ๊ค-อุบลราชธ/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/จำนำ-ไอโฟน-มือสอง-อุบลรา/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/จำนำมือถืออุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/จำนำอุบล-ใกล้ฉัน/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/จำนำไอโฟน-iphone-อุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/จํา-นํา-โทรศัพท์-อุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/ติดต่อเรา/","REDIRECT","/contact/","301","Normalized 301 consolidation"
"/รับจำนำ-ipad-air-6-อุบลราชธานี/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำ-iphone-จังหวัดยโสธร/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำ-อุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำกล้อง-อุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำกล้องเลนส์-จังหว/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำของ-อุบลราชธานี-บ/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำคอม-จังหวัดอุบลร/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำคอม-อุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำคอมพิวเตอร์จังห/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำมือถือ-จังหวัดยโ/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำมือถืออุบล-2/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำมือถืออุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำลำโพง-jbl-marshall-ยโสธร/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำลำโพง-marshall/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำศรีสะเกษ/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำอำนาจเจริญ/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำอุบล-2/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำอุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำแมคบุ๊ค-จังหวัดย/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำโน๊ตบุ๊ค-ยโสธร/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำโน๊ตบุ๊คศรีสะเก/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำโน๊ตบุ๊คอำนาจเจ/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำโน๊ตบุ๊คอุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอแพด-จังหวัดยโส/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอโฟน-11-รับจำนำ-iphone-11/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอโฟน-12-รับจำนำ-iphone-12/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอโฟน-13-รับจำนำ-iphone-13/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอโฟน-14-รับจำนำ-iphone-14/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอโฟน-จังหวัดยโส/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับจำนำไอโฟน-อุบล/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับซื้อ-apple-watch-ใกล้ฉัน/","REDIRECT","/รับซื้อ-apple-watch/","301","Normalized 301 consolidation"
"/รับซื้อ-macbook-จังหวัดกาฬสินธ/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-จังหวัดนครพนม/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-จังหวัดนครราชส/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-จังหวัดบุรีรัม/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-จังหวัดมุกดาหา/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-จังหวัดร้อยเอ็/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-จังหวัดสุรินทร/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-macbook-แม็คบุ๊ค-ใกล้ฉั/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","NEW_REDIRECT consolidation"
"/รับซื้อ-macbook-แม็คบุ๊ค/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","NEW_REDIRECT consolidation"
"/รับซื้อ-macbook/","REDIRECT","/รับซื้อแมคบุ๊ค/","301","EXISTING_REDIRECT consolidation"
"/รับซื้อ-notebook-ใกล้ฉัน/","REDIRECT","/รับซื้อโน๊ตบุ๊ค/","301","NEW_REDIRECT consolidation"
"/รับซื้อ-ps4-อุบล-play-station-4/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับซื้อ-server/","HOLD_NOINDEX","/รับซื้อ-server/","200","REBUILD_INDEX survivor candidate awaiting unique content (CONTENT_REQUIRED)"
"/รับซื้อ-โน๊ตบุ๊คnotebookจังหวั/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับซื้อ-ใกล้ฉัน/","REDIRECT","/รับซื้อ/","301","Normalized 301 consolidation"
"/รับซื้อกระดาษ-a4/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับซื้อกล้อง-canon-2/","HOLD_NOINDEX","/รับซื้อกล้อง-canon-2/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-canon/","HOLD_NOINDEX","/รับซื้อกล้อง-canon/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-nikon-รับซื้อกล/","HOLD_NOINDEX","/รับซื้อกล้อง-nikon-รับซื้อกล/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-sony-a6400/","HOLD_NOINDEX","/รับซื้อกล้อง-sony-a6400/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-sony-a7/","HOLD_NOINDEX","/รับซื้อกล้อง-sony-a7/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-sony-rx100/","HOLD_NOINDEX","/รับซื้อกล้อง-sony-rx100/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-รับซื้อกล้/","REDIRECT","/รับซื้อกล้อง/","301","NEW_REDIRECT consolidation"
"/รับซื้อกล้อง-รับซื้อเลน/","HOLD_NOINDEX","/รับซื้อกล้อง-รับซื้อเลน/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-ใกล้ฉัน/","HOLD_NOINDEX","/รับซื้อกล้อง-ใกล้ฉัน/","200","Historical survivor in hold/review"
"/รับซื้อกล้อง-ให้ราคาสูง/","REDIRECT","/รับซื้อกล้อง/","301","NEW_REDIRECT consolidation"
"/รับซื้อกล้องถ่ายรูป/","REDIRECT","/รับซื้อกล้อง/","301","NEW_REDIRECT consolidation"
"/รับซื้อกล้องนครราชสีมา/","HOLD_NOINDEX","/รับซื้อกล้องนครราชสีมา/","200","Historical survivor in hold/review"
"/รับซื้อกล้องมือสอง-กาฬ-2/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับซื้อกล้องมือสอง-ขอน-2/","GONE","","410","Quarantined off-topic / spam legacy URL"
"/รับซื้อกล้องมือสอง-บุรี/","REDIRECT","/รับซื้อกล้อง/","301","Normalized 301 consolidation"
"/รับซื้อกล้องมือสอง-ร้อ-2/","GONE","","410","Quarantined off-topic / spam legacy URL"
